RANK,ID,CitationCount,CiteScore,SJR
11,17435,5963,7.13,6.57
8,17435,5963,7.13,6.57
5,17435,5963,7.13,6.57
9,21100368204,2395,7.13,3.657
13,21100368204,2395,7.13,3.657
2,14179,5260,7.1,5.339
5,14179,5260,7.1,5.339
4,17399,2626,7.1,3.684
14,17399,2626,7.1,3.684
2,29646,234,7.09,3.126
11,29646,234,7.09,3.126
4,29646,234,7.09,3.126
2,4900152301,1070,7.09,2.386
4,21100338359,1605,7.07,2.194
17,21100338359,1605,7.07,2.194
1,17500,1548,7.04,20.973
2,17500,1548,7.04,20.973
4,17500,1548,7.04,20.973
2,28330,12741,7.04,6.527
5,26756,274,7.03,3.63
5,26756,274,7.03,3.63
1,12074,2927,7.02,4.728
7,19700178100,84,7,1.009
10,19700178100,84,7,1.009
5,21100398001,175,7,1.052
2,21100398001,175,7,1.052
7,21100398001,175,7,1.052
12,12229,543,6.96,2.092
5,12229,543,6.96,2.092
3,12229,543,6.96,2.092
12,12229,543,6.96,2.092
5,24909,8861,6.96,4.172
18,24909,8861,6.96,4.172
7,19988,445,6.95,3.45
13,19988,445,6.95,3.45
20,16590,40789,6.93,12.467
3,25454,28255,6.93,5.842
15,25454,28255,6.93,5.842
14,25454,28255,6.93,5.842
20,25454,28255,6.93,5.842
2,12503,7821,6.92,3.073
2,12503,7821,6.92,3.073
1,12503,7821,6.92,3.073
1,16592,2451,6.92,2.842
8,16592,2451,6.92,2.842
11,16592,2451,6.92,2.842
19,17500155020,4294,6.91,2.842
20,17500155020,4294,6.91,2.842
4,18525,6308,6.88,6.38
21,18457,4080,6.87,4.214
21,18457,4080,6.87,4.214
11,21267,11458,6.87,5.33
15,21267,11458,6.87,5.33
1,16512,432,6.86,3.763
4,20037,521,6.86,3.357
5,20037,521,6.86,3.357
2,20037,521,6.86,3.357
21,11600154092,445,6.85,5.713
4,21100242403,2542,6.85,2.595
22,18555,7344,6.83,6.761
2,25527,3605,6.83,3.101
6,25527,3605,6.83,3.101
4,25527,3605,6.83,3.101
3,20635,1670,6.82,5.834
5,20635,1670,6.82,5.834
22,28111,5841,6.81,3.815
13,25122,95,6.79,1.159
21,25122,95,6.79,1.159
1,20373,2638,6.78,3.136
1,20373,2638,6.78,3.136
1,25534,8958,6.73,2.102
10,25534,8958,6.73,2.102
7,17956,1607,6.72,4.16
22,17956,1607,6.72,4.16
9,19908,10220,6.72,3.573
8,19908,10220,6.72,3.573
4,12000154478,8144,6.7,2.385
2,12000154478,8144,6.7,2.385
5,12000154478,8144,6.7,2.385
22,12000154478,8144,6.7,2.385
8,21100207626,696,6.69,1.97
10,21100207626,696,6.69,1.97
16,21100207626,696,6.69,1.97
23,21100207626,696,6.69,1.97
3,15991,3395,6.68,3.623
23,85291,28888,6.67,6.866
24,3300147809,10353,6.66,1.789
12,3300147809,10353,6.66,1.789
16,3300147809,10353,6.66,1.789
